pais,tipoenergia,indicador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
espana,oilProducts,totalFinalConsumptionPj,2309.0,2135.0,2092.0,1940.0,1751.0,1669.0,1611.0,1683.0,1758.0,1792.0,1833.0,1836.0,1570.0,1730.0,1777.0
espana,naturalGas,productionPj,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0
espana,naturalGas,totalFinalConsumptionPj,631.0,560.0,621.0,607.0,628.0,639.0,619.0,559.0,578.0,586.0,619.0,625.0,597.0,642.0,549.0
espana,nuclear,productionPj,643.0,576.0,676.0,630.0,671.0,619.0,625.0,624.0,640.0,633.0,608.0,637.0,636.0,617.0,639.0
espana,nuclear,totalFinalConsumptionPj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
espana,renewablesAndWaste,productionPj,445.0,536.0,626.0,599.0,626.0,749.0,769.0,723.0,740.0,709.0,757.0,772.0,804.0,827.0,813.0
espana,renewablesAndWaste,totalFinalConsumptionPj,184.0,214.0,231.0,250.0,270.0,217.0,220.0,228.0,223.0,233.0,252.0,256.0,239.0,242.0,246.0
italia,coalPeatAndOilShale,productionPj,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
italia,coalPeatAndOilShale,totalFinalConsumptionPj,87.0,45.0,79.0,95.0,95.0,68.0,58.0,40.0,40.0,30.0,35.0,34.0,30.0,38.0,33.0
italia,oilProducts,productionPj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
italia,oilProducts,totalFinalConsumptionPj,2526.0,2335.0,2279.0,2246.0,2073.0,1948.0,2003.0,1974.0,1931.0,1903.0,1921.0,1896.0,1600.0,1839.0,1922.0
italia,naturalGas,productionPj,317.0,275.0,288.0,290.0,295.0,265.0,245.0,232.0,198.0,190.0,187.0,165.0,138.0,109.0,107.0
italia,naturalGas,totalFinalConsumptionPj,1563.0,1534.0,1636.0,1506.0,1500.0,1494.0,1315.0,1405.0,1419.0,1448.0,1434.0,1410.0,1359.0,1560.0,1345.0
italia,nuclear,productionPj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
italia,nuclear,totalFinalConsumptionPj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
italia,renewablesAndWaste,productionPj,818.0,841.0,856.0,811.0,931.0,1032.0,1038.0,1035.0,1036.0,1048.0,1055.0,1079.0,1083.0,1115.0,1029.0
italia,renewablesAndWaste,totalFinalConsumptionPj,378.0,389.0,389.0,284.0,371.0,368.0,323.0,361.0,348.0,373.0,361.0,364.0,356.0,400.0,372.0
francia,total,productionPj,5653.0,5338.0,5629.0,5670.0,5628.0,5696.0,5749.0,5781.0,5464.0,5375.0,5622.0,5473.0,4982.0,5289.0,4321.0
francia,total,totalFinalConsumptionPj,5108.0,4899.0,4972.0,4842.0,4939.0,5014.0,4692.0,4741.0,4781.0,4749.0,4606.0,4570.0,4126.0,4556.0,4243.0
espana,total,productionPj,1265.0,1273.0,1442.0,1342.0,1402.0,1444.0,1463.0,1401.0,1413.0,1390.0,1405.0,1414.0,1442.0,1445.0,1453.0
espana,total,totalFinalConsumptionPj,3179.0,2944.0,2981.0,2843.0,2680.0,2565.0,2476.0,2492.0,2582.0,2648.0,2735.0,2744.0,2433.0,2641.0,2601.0
italia,total,productionPj,1138.0,1118.0,1147.0,1103.0,1228.0,1299.0,1285.0,1269.0,1234.0,1238.0,1242.0,1244.0,1221.0,1224.0,1136.0
italia,total,totalFinalConsumptionPj,4554.0,4303.0,4383.0,4131.0,4039.0,3878.0,3699.0,3780.0,3738.0,3754.0,3751.0,3704.0,3345.0,3837.0,3672.0
